,transaction_id,user_id,merchant_id,amount,timestamp,geo_location,device_id,merchant_category,city,fraud_score,fraud_reasons,is_fraud,distance_from_home_km
0,a100afa7-e13c-4b9d-b25d-80499e16c38e,267,21,2560.23,2025-11-20T12:27:08.127200Z,"[17.293838, 78.43787]",android_13_pixel7,utilities,Sūrat,2,['new_device'],1,11.29
1,2025-11-20T12:27:28.127200Z,267,21,3198.95,2025-11-20T12:27:08.127200Z,"[17.293838, 78.43787]",android_13_pixel7,utilities,Sūrat,2,['new_device'],1,11.29
2,2025-11-20T12:27:16.127200Z,267,21,3493.7,2025-11-20T12:27:08.127200Z,"[17.293838, 78.43787]",android_13_pixel7,utilities,Sūrat,2,['new_device'],1,11.29
3,2025-11-20T12:27:34.127200Z,267,21,1733.41,2025-11-20T12:27:08.127200Z,"[17.293838, 78.43787]",android_13_pixel7,utilities,Sūrat,2,['new_device'],1,11.29
4,c43c599b-018a-4cfe-80a5-c7f01ca7dad6,282,18,15.56,2025-11-20T08:17:46.312417Z,"[12.887258, 77.476368]",linux_ubuntu_firefox,utilities,Indore,2,['new_device'],1,14.98
5,2025-11-20T08:17:56.312417Z,282,18,8.0,2025-11-20T08:17:46.312417Z,"[12.887258, 77.476368]",linux_ubuntu_firefox,utilities,Indore,2,['new_device'],1,14.98
6,2025-11-20T08:17:55.312417Z,282,18,8.49,2025-11-20T08:17:46.312417Z,"[12.887258, 77.476368]",web_chrome,utilities,Indore,2,['new_device'],1,14.98
7,356a16f3-ad6e-4194-a94e-ed067e6100d1,235,22,62.91,2025-11-20T14:35:52.475021Z,"[28.639967, 77.317474]",ios_16_iphone14,entertainment,Nāgpur,3,"['new_device', 'off_hours']",1,14.34
8,2025-11-20T14:36:04.475021Z,235,22,37.14,2025-11-20T14:35:52.475021Z,"[28.639967, 77.317474]",ios_16_iphone14,entertainment,Nāgpur,3,"['new_device', 'off_hours']",1,14.34
9,2025-11-20T14:36:01.475021Z,235,22,65.21,2025-11-20T14:35:52.475021Z,"[28.639967, 77.317474]",ios_16_iphone14,entertainment,Nāgpur,3,"['new_device', 'off_hours']",1,14.34
10,2025-11-20T14:36:14.475021Z,235,22,78.58,2025-11-20T14:35:52.475021Z,"[28.639967, 77.317474]",ios_16_iphone14,entertainment,Nāgpur,3,"['new_device', 'off_hours']",1,14.34
11,2025-11-20T14:36:05.475021Z,235,22,83.19,2025-11-20T14:35:52.475021Z,"[28.639967, 77.317474]",ios_16_iphone14,entertainment,Nāgpur,3,"['new_device', 'off_hours']",1,14.34
12,c4706581-185b-4dd9-9420-0a6ee5d47ac6,106,33,119.36,2025-11-20T18:15:45.677827Z,"[21.075185, 79.17012]",macos_ventura_safari,entertainment,Delhi,2,['new_device'],1,12.41
13,2025-11-20T18:16:05.677827Z,106,33,65.93,2025-11-20T18:15:45.677827Z,"[21.075185, 79.17012]",macos_ventura_safari,entertainment,Delhi,2,['new_device'],1,12.41
14,2025-11-20T18:15:56.677827Z,106,33,67.55,2025-11-20T18:15:45.677827Z,"[21.075185, 79.17012]",ios_15_iphone13,entertainment,Delhi,2,['new_device'],1,12.41
15,2025-11-20T18:15:58.677827Z,106,33,93.6,2025-11-20T18:15:45.677827Z,"[21.075185, 79.17012]",macos_ventura_safari,entertainment,Delhi,2,['new_device'],1,12.41
16,2025-11-20T18:16:07.677827Z,106,33,174.79,2025-11-20T18:15:45.677827Z,"[21.075185, 79.17012]",macos_ventura_safari,entertainment,Delhi,2,['new_device'],1,12.41
17,8c090e13-c0a9-4b2c-a899-8c98b9030f95,63,34,17.26,2025-11-20T14:35:52.880980Z,"[26.498452, 80.373571]",macos_ventura_safari,travel,Nāgpur,3,"['new_device', 'off_hours']",1,4.86
18,c1822912-dc7f-4f81-8ee5-65a1bfd07a72,243,44,180.72,2025-11-20T18:33:28.002241Z,"[22.622247, 88.45195]",linux_ubuntu_firefox,food,Nāgpur,2,['new_device'],1,14.92
19,2025-11-20T18:33:33.002241Z,243,44,120.1,2025-11-20T18:33:28.002241Z,"[22.622247, 88.45195]",linux_ubuntu_firefox,food,Nāgpur,2,['new_device'],1,14.92
20,2025-11-20T18:33:43.002241Z,243,44,111.37,2025-11-20T18:33:28.002241Z,"[22.622247, 88.45195]",linux_ubuntu_firefox,food,Nāgpur,2,['new_device'],1,14.92
21,2025-11-20T18:33:47.002241Z,243,44,178.7,2025-11-20T18:33:28.002241Z,"[22.622247, 88.45195]",linux_ubuntu_firefox,food,Nāgpur,2,['new_device'],1,14.92
22,2025-11-20T18:33:43.002241Z,243,44,236.51,2025-11-20T18:33:28.002241Z,"[22.622247, 88.45195]",linux_ubuntu_firefox,food,Nāgpur,2,['new_device'],1,14.92
23,25a72760-6e03-4267-8fa5-08ee51be6bcd,93,45,119.61,2025-11-20T07:11:27.205315Z,"[21.058257, 72.869012]",web_opera,utilities,Ahmedabad,2,['new_device'],1,12.43
24,2025-11-20T07:11:28.205315Z,93,45,94.71,2025-11-20T07:11:27.205315Z,"[21.058257, 72.869012]",web_opera,utilities,Ahmedabad,2,['new_device'],1,12.43
25,2025-11-20T07:11:30.205315Z,93,45,146.5,2025-11-20T07:11:27.205315Z,"[21.058257, 72.869012]",web_opera,utilities,Ahmedabad,2,['new_device'],1,12.43
26,2025-11-20T07:11:35.205315Z,93,45,128.22,2025-11-20T07:11:27.205315Z,"[21.058257, 72.869012]",web_chrome,utilities,Ahmedabad,2,['new_device'],1,12.43
27,5a747ffb-cd75-40fc-9f20-fd47a3b44a55,130,59,148.15,2025-11-20T13:10:55.387438Z,"[19.037583, 73.006675]",web_edge,food,Delhi,0,[],0,12.1
28,dc5d4bbb-0ce9-4f6e-9ce5-54098236eb47,13,39,5624.57,2025-11-20T21:26:56.508969Z,"[12.948009, 77.604969]",web_safari,grocery,Kolkāta,2,['new_device'],1,4.83
29,2025-11-20T21:27:22.508969Z,13,39,2922.13,2025-11-20T21:26:56.508969Z,"[12.948009, 77.604969]",web_safari,grocery,Kolkāta,2,['new_device'],1,4.83
30,2025-11-20T21:27:19.508969Z,13,39,4832.14,2025-11-20T21:26:56.508969Z,"[12.948009, 77.604969]",web_safari,grocery,Kolkāta,2,['new_device'],1,4.83
31,2025-11-20T21:27:12.508969Z,13,39,4747.33,2025-11-20T21:26:56.508969Z,"[12.948009, 77.604969]",web_safari,grocery,Kolkāta,2,['new_device'],1,4.83
32,2025-11-20T21:27:07.508969Z,13,39,4996.76,2025-11-20T21:26:56.508969Z,"[12.948009, 77.604969]",web_chrome,grocery,Kolkāta,2,['new_device'],1,4.83
33,7789f602-957d-4b17-a3db-5d66d736748d,271,28,39276.04,2025-11-20T13:11:55.711981Z,"[21.233093, 79.154425]",web_edge,travel,Pune,2,['new_device'],1,13.76
34,2025-11-20T13:11:57.711981Z,271,28,26036.38,2025-11-20T13:11:55.711981Z,"[21.233093, 79.154425]",web_edge,travel,Pune,2,['new_device'],1,13.76
35,2025-11-20T13:12:02.711981Z,271,28,53301.95,2025-11-20T13:11:55.711981Z,"[21.233093, 79.154425]",web_edge,travel,Pune,2,['new_device'],1,13.76
